PlotID,TreeID,CurrentX,CurrentY,Diameter_cm,Height_m
10005,11,420111.7322506061,6483208.950863491,20.7,18.428516984002346
10005,12,420115.2861558942,6483208.063870139,23.25,19.962350349228124
10005,13,420111.53123439103,6483204.59649873,37.65,26.354168863256014
10005,14,420110.02104788565,6483202.500135992,34.7,25.292836242382386
10005,15,420114.48042468703,6483201.88502743,28.7,22.776196209955028
10005,16,420115.6814559371,6483199.286869634,29.299999999999997,23.052536352420077
10001,1,420085.46938776446,6483147.3189253565,39.05,26.823485143830457
10001,2,420093.5166619505,6483144.903997164,47.6,29.292608133638335
10001,3,420094.8644324078,6483144.648038584,29.5,23.143325117827573
10001,4,420096.84344930644,6483148.14259036,27.3,22.107351816068764
10001,5,420091.2902142829,6483150.737986432,44.8,28.551605407068124
10001,6,420084.0803127857,6483151.833897196,36.9,26.09396010461217
10001,7,420079.11962006264,6483154.636401025,32.7,24.51157254459022
10001,8,420075.37188999157,6483152.463081139,37.55,26.319836842683884
10001,9,420074.5793198972,6483148.8718651,23.25,19.962350349228124
10001,10,420075.46517315827,6483146.989243523,28.449999999999996,22.659264220241468
10001,11,420079.4875799074,6483147.454478889,30.349999999999998,23.521987801995394
10001,12,420076.34803829086,6483143.804742125,28.4,22.635749545721836
10001,13,420082.44386630633,6483142.310660197,27.65,22.2778074175036
10001,14,420081.89419335313,6483145.185996639,22.4,19.468108831478133
10001,15,420086.0493890137,6483143.1999329375,26.6,21.75971965164225
10002,1,420090.89239398885,6483166.684207948,27.949999999999996,22.42216906603626
10002,2,420096.85136018257,6483159.488429887,44.15,28.370855068375555
10002,3,420098.53250386665,6483167.740626923,33.85,24.967264978897827
10002,4,420098.8446833087,6483174.851361344,38.1,26.507308002895805
10002,5,420093.6578984857,6483174.912706286,30.0,23.367461314852488
10002,6,420092.60475071723,6483169.064614307,37.3,26.2335218477605
10002,7,420090.9371518016,6483173.745085851,31.85,24.162984118253057
10002,8,420087.38460953993,6483173.135870391,30.349999999999998,23.521987801995394
10002,9,420086.5724983671,6483169.565145612,39.35,26.9213752536921
10002,10,420083.26896963856,6483173.49712958,36.65,26.005810156585337
10002,11,420081.5335137847,6483179.604624403,36.6,25.98809395877738
10002,12,420079.86062263226,6483176.515104182,28.4,22.635749545721836
10002,13,420081.33207484457,6483170.387557495,42.8,27.984202703895708
10002,14,420075.9776183796,6483158.2787592085,39.9,27.09846837310032
10002,15,420084.31357947836,6483158.117971922,40.0,27.130341994376597
10003,1,420100.48820514453,6483179.289681538,38.05,26.490401197431638
10003,2,420098.6520495096,6483187.237003884,34.2,25.10245368133614
10003,3,420103.74551256985,6483193.400374233,26.150000000000002,21.531389043370087
10003,4,420101.2097263884,6483197.061834111,36.75,26.041156143364084
10003,5,420099.5987955042,6483195.029864206,33.75,24.92834464864059
10003,6,420094.5070312708,6483197.546476413,20.0,17.97957183382907
10003,7,420086.8226071257,6483191.855780007,42.05,27.76256999228607
10003,8,420084.4039301107,6483193.990024956,27.55,22.229330796850125
10003,9,420080.5928305629,6483192.8848008895,29.5,23.143325117827573
10003,10,420073.20622803306,6483194.48527053,31.3,23.93187029227469
10003,11,420081.0194587898,6483190.309827424,28.300000000000004,22.588591061668918
10003,12,420089.9816026559,6483188.810201699,28.199999999999996,22.541259677296896
10003,13,420084.32183378557,6483187.518104052,39.3,26.90512423415974
10003,14,420075.7441891108,6483188.162007643,27.949999999999996,22.42216906603626
10003,15,420074.1822886545,6483186.355639194,36.7,26.023497529090783
10003,16,420075.0971719295,6483181.923677035,38.6,26.674903590936207
10003,17,420078.2689356944,6483182.838507413,35.2,25.480058867303363
10003,18,420080.39331441285,6483183.9982552575,26.200000000000003,21.556950144178042
10003,19,420087.27700633445,6483181.7765924735,22.5,19.52711314497958
10003,20,420089.9838734086,6483185.755206632,25.85,21.377006800733216
10003,21,420090.6684518179,6483181.887034921,27.35,22.13183805736266
10003,22,420093.65955924493,6483182.099111225,28.800000000000004,22.822671683078916
10003,23,420094.7673878078,6483184.296272092,31.8,24.142156828392842
10003,24,420097.14405151684,6483179.233676949,34.15,25.08323871191722
10004,1,420093.7804885749,6483207.684601277,25.95,21.428661817014493
10004,2,420099.03437633865,6483208.764260189,20.0,17.97957183382907
10004,3,420106.26041095145,6483212.308921496,25.3,21.089381625801884
10004,4,420105.2426058978,6483214.649877044,32.5,24.430471687381466
10004,5,420105.30820212525,6483216.493297,21.75,19.078862643055583
10004,6,420101.7953539618,6483215.519850656,33.4,24.79107773830932
10004,7,420099.3055162563,6483218.580750558,26.700000000000003,21.80993883675347
10004,8,420093.6007392791,6483219.027426773,38.85,26.757709584062493
10004,9,420088.364030729,6483218.29791765,31.900000000000002,24.183775153727385
10004,10,420083.11356286326,6483215.739580846,30.9,23.760963717707664
10004,11,420081.6968518745,6483213.7685329085,23.5,20.104620193915117
10004,12,420077.8248395044,6483215.277081949,22.3,19.408872043548968
10004,13,420088.2678119051,6483209.840545603,13.55,13.188757689846497
10004,14,420086.59723480366,6483215.117142247,15.5,14.770203282054638
10004,15,420085.2755074843,6483209.5055616405,6.550000000000001,6.547397232662384
10004,16,420084.0063120024,6483206.181280842,34.3,25.14078661709541
10004,17,420088.06132220913,6483202.802835604,32.7,24.51157254459022
10004,18,420092.9352937489,6483202.675944203,19.5,17.65109102889825
10004,19,420091.84993560414,6483206.271107299,35.75,25.68244238928122
